FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20
36009,NY,Cattaraugus,Northeast,46224.0,19,37,2,25.7,6,white_not_hispanic_2017,41,72,10.32527264106212,39.15030820293978,30.61735419630157
12127,FL,Volusia,Southeast,45356.0,68,285,10,28.4,57,white_not_hispanic_2017,292,478,9.206126897395182,31.52610243714801,34.82577005395063
17121,IL,Marion,Ohio Valley,45698.0,4,23,1,31.1,6,white_not_hispanic_2017,26,27,10.54299679242401,34.20650679700626,39.03696349473041
6079,CA,San Luis Obispo,West,69517.0,69,92,1,25.1,40,white_not_hispanic_2017,234,340,8.150909224921293,19.93608575249286,35.83093786524307
12075,FL,Levy,Southeast,33092.0,10,29,1,28.4,2,white_not_hispanic_2017,17,25,13.752240589524,41.44592710615415,30.7043749585076
48419,TX,Shelby,South,37410.0,5,13,1,33.0,2,white_not_hispanic_2017,10,13,22.01143135108841,34.53119299525721,29.44180955855527
6101,CA,Sutter,West,51283.0,21,40,2,25.1,8,white_not_hispanic_2017,59,54,20.17057163691703,23.03034146032148,36.7680162328398
38089,ND,Stark,Northern Rockies & Plains,78604.0,6,19,1,33.2,4,white_not_hispanic_2017,18,23,7.766510017313875,32.66881028938906,35.06307197625526
41001,OR,Baker,Northwest,42177.0,3,8,1,29.4,2,white_not_hispanic_2017,9,26,8.779960053262318,29.39414114513981,36.82589880159787
42089,PA,Monroe,Northeast,59574.0,17,55,3,31.6,10,white_not_hispanic_2017,112,147,10.43372737378966,34.71855667478509,29.03198431758586
13085,GA,Dawson,Southeast,61229.0,4,12,1,31.6,2,white_not_hispanic_2017,17,16,11.65906816412766,26.34827087734905,28.3442677638163
30029,MT,Flathead,Northern Rockies & Plains,50249.0,18,38,2,25.3,18,white_not_hispanic_2017,67,122,5.752206297413022,28.28604078036154,33.96252392163342
12115,FL,Sarasota,Southeast,55088.0,89,136,7,28.4,52,white_not_hispanic_2017,185,475,6.764262095091335,27.69708060086564,29.13328605325138
32001,NV,Churchill,West,50292.0,2,10,1,26.7,6,white_not_hispanic_2017,17,13,6.996374011769602,29.15056767520656,45.10491588896154
48199,TX,Hardin,South,60692.0,7,32,2,33.0,6,white_not_hispanic_2017,40,21,11.26637329833501,39.56355027149438,31.10991018811601
39155,OH,Trumbull,Ohio Valley,45929.0,45,93,4,33.8,19,white_not_hispanic_2017,146,122,10.5995844671876,43.98561724810946,26.23383164625146
13055,GA,Chattooga,Southeast,37345.0,6,29,1,31.6,1,white_not_hispanic_2017,12,8,27.70254494513192,38.34928788232547,24.22951202428204
22039,LA,Evangeline,South,34440.0,13,18,1,36.2,1,white_not_hispanic_2017,11,5,23.28101812294824,41.67378693169043,22.31865809236858
55035,WI,Eau Claire,Upper Midwest,52209.0,15,48,3,32.0,16,white_not_hispanic_2017,93,80,4.931908526171007,25.64955185078823,36.1572527622013
39165,OH,Warren,Ohio Valley,81543.0,29,72,6,33.8,27,white_not_hispanic_2017,133,132,5.9239791015712,25.73039499557722,24.63901846112727
19013,IA,Black Hawk,Upper Midwest,50887.0,24,61,4,36.4,17,white_not_hispanic_2017,84,107,8.197445386176435,29.89136922525964,32.70980064462218
1109,AL,Pike,Southeast,35172.0,7,20,1,36.3,2,white_not_hispanic_2017,34,23,12.64629725530813,33.38166752977732,24.34489901605386
55031,WI,Douglas,Upper Midwest,50340.0,7,27,1,32.0,8,white_not_hispanic_2017,22,46,6.27445948546866,28.66170526720985,39.26990440751909
29217,MO,Vernon,Ohio Valley,39036.0,1,13,1,32.5,2,white_not_hispanic_2017,11,15,11.68973051711581,40.87399854333576,29.91260014566642
36049,NY,Lewis,Northeast,48314.0,3,19,1,25.7,1,white_not_hispanic_2017,14,27,8.696598639455782,44.4843537414966,28.47891156462585
31019,NE,Buffalo,Northern Rockies & Plains,57036.0,10,29,1,32.8,7,white_not_hispanic_2017,43,45,8.014326553412413,24.96631945585384,33.25666217592745
51047,VA,Culpeper,Southeast,67023.0,9,17,1,30.1,8,white_not_hispanic_2017,34,30,12.93505459508644,31.05379890809827,30.85759781619654
51041,VA,Chesterfield,Southeast,76260.0,51,135,6,30.1,41,white_not_hispanic_2017,232,226,7.409597801159837,23.11930665055545,29.41757114958325
4019,AZ,Pima,Southwest,47644.0,122,283,17,29.5,116,white_not_hispanic_2017,666,635,10.97283693730644,21.47363938165339,33.92203070582233
40065,OK,Jackson,South,44211.0,1,13,1,36.5,3,white_not_hispanic_2017,18,18,14.31519699812383,28.98061288305191,34.45903689806129
