FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20,highest_education_pct
54049,WV,Marion,Ohio Valley,45712.0,9,35,1,38.1,4,White & Not Hispanic,39,33,9.771481749560541,40.48960810671078,26.66735601282184,With a high school diploma only
45091,SC,York,Southeast,61044.0,38,115,7,34.1,32,White & Not Hispanic,153,170,8.809141572207718,24.96743260847239,32.48414873433116,With some college or associate's degree
12069,FL,Lake,Southeast,50125.0,37,146,7,28.4,27,White & Not Hispanic,152,243,10.02199432917296,32.08711420015975,33.50671375951605,With some college or associate's degree
26057,MI,Gratiot,Upper Midwest,42642.0,5,26,2,32.3,1,White & Not Hispanic,23,17,7.941624455385924,40.3244660125394,35.21306365343062,With a high school diploma only
36019,NY,Clinton,Northeast,53392.0,20,53,2,25.7,5,White & Not Hispanic,39,76,11.95478916099116,36.3172004057383,27.30582524271844,With a high school diploma only
47043,TN,Dickson,Ohio Valley,52144.0,7,33,1,32.8,4,White & Not Hispanic,39,39,14.40426793123888,40.28668427008676,28.15649081209247,With a high school diploma only
37171,NC,Surry,Southeast,38843.0,15,52,2,32.1,5,White & Not Hispanic,58,70,20.13345108429006,29.12962417819645,32.87214208615445,With some college or associate's degree
36113,NY,Warren,Northeast,55769.0,27,46,2,25.7,11,White & Not Hispanic,66,142,7.903665618950479,29.51229158427176,30.32826127682605,With some college or associate's degree
19087,IA,Henry,Upper Midwest,50684.0,2,11,1,36.4,2,White & Not Hispanic,9,21,7.454558834351313,36.24254912061226,33.78467878431084,With a high school diploma only
41033,OR,Josephine,Northwest,38921.0,16,37,3,29.4,7,White & Not Hispanic,52,72,9.18559728017308,30.15144490805131,42.54056560037088,With some college or associate's degree
41029,OR,Jackson,Northwest,48538.0,35,77,9,29.4,27,White & Not Hispanic,155,201,9.572105748735407,25.200903509051,36.4031431934591,With some college or associate's degree
42095,PA,Northampton,Northeast,65730.0,51,101,2,31.6,28,White & Not Hispanic,202,262,8.736091672088788,34.15468728789361,25.26740033047638,With a high school diploma only
45047,SC,Greenwood,Southeast,40599.0,15,50,2,34.1,4,White & Not Hispanic,55,48,14.50918394941027,31.86612027541447,29.52800948557402,With a high school diploma only
20079,KS,Harvey,South,56848.0,6,9,1,32.4,3,White & Not Hispanic,24,24,9.006307061262294,23.03179993825255,35.93260706567283,With some college or associate's degree
37063,NC,Durham,Southeast,54255.0,52,120,6,32.1,45,White & Not Hispanic,286,239,10.39282033508751,17.71430916702389,22.4355408005983,With some college or associate's degree
16027,ID,Canyon,Northwest,48461.0,25,56,5,29.3,10,White & Not Hispanic,109,84,13.73163127920456,31.04592810189285,35.0649070134134,With some college or associate's degree
22019,LA,Calcasieu,South,47052.0,31,149,6,36.2,15,White & Not Hispanic,157,103,12.59187146541025,33.6489228093904,31.88023453698268,With a high school diploma only
36085,NY,Richmond,Northeast,75524.0,242,113,1,25.7,43,White & Not Hispanic,314,328,11.54210911368091,29.71889122050646,24.041920945118,With a high school diploma only
47093,TN,Knox,Ohio Valley,52174.0,71,225,11,32.8,56,White & Not Hispanic,424,341,8.09722812862711,24.69712133372129,28.41799654035664,With some college or associate's degree
37061,NC,Duplin,Southeast,38771.0,14,41,1,32.1,1,White & Not Hispanic,36,26,21.33110484695787,31.50148427170904,32.60408611270486,With some college or associate's degree
39097,OH,Madison,Ohio Valley,60039.0,5,15,1,33.8,2,White & Not Hispanic,22,12,12.59820250141412,40.91194770913204,28.37659480862297,With a high school diploma only
29047,MO,Clay,Ohio Valley,65973.0,31,67,6,32.5,28,White & Not Hispanic,166,154,6.649187707263346,27.99506758131906,32.50607573417616,With some college or associate's degree
17109,IL,McDonough,Ohio Valley,44460.0,8,15,1,31.1,2,White & Not Hispanic,23,30,4.775280898876404,30.78871998237497,32.05551883674818,With some college or associate's degree
9003,CT,Hartford,Northeast,69341.0,258,315,7,26.9,142,White & Not Hispanic,598,814,10.0011374942124,26.18639845300787,25.30283780774425,With a high school diploma only
39159,OH,Union,Ohio Valley,78796.0,4,16,2,33.8,8,White & Not Hispanic,29,30,5.74703839869281,32.18188316993464,26.52420343137255,With a high school diploma only
