FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20,PCTADTWB16_20,UNEMPRT16,UNINSRT17,PCT_LACCESS_POP15,VLFOODSEC_15_17,FOODINSEC_15_17,highest_education_pct
1001,AL,Autauga,Southeast,54487.0,3,31,1,24.3,6,White & Not Hispanic,44,31,11.28631801373481,31.37876386687797,29.01743264659271,28.31748547279451,5.11,8.8,32.062254747184035,7.1,16.3,High school diploma only
1003,AL,Baldwin,Southeast,56460.0,29,118,7,29.8,21,White & Not Hispanic,156,236,9.528615416262221,27.1735566940725,31.39049774046528,31.9073301492,5.35,10.8,16.767489331327024,7.1,16.3,Bachelor's degree or above
1005,AL,Barbour,Southeast,32884.0,4,19,1,26,8,White & Not Hispanic,23,14,25.26830364668203,35.74197898522223,27.37540034837332,11.61431701972243,8.36,12.3,22.105560066973666,7.1,16.3,High school diploma only
1007,AL,Bibb,Southeast,43079.0,5,15,1,26.9,1,White & Not Hispanic,7,7,19.11553136923751,45.07412272471383,24.46362669669106,11.3467192093576,6.47,8.1,4.2303244206186426,7.1,16.3,High school diploma only
1009,AL,Blount,Southeast,47213.0,5,27,1,30.2,4,White & Not Hispanic,23,12,17.17486311347767,35.10071834028231,34.47279851308585,13.25162003315416,5.4,11.0,6.497380137361867,7.1,16.3,High school diploma only
1011,AL,Bullock,Southeast,34278.0,3,6,2,20.8,8,Black,3,1,25.05896226415094,41.40625,23.26061320754717,10.27417452830189,6.86,14.1,37.950342361794206,7.1,16.3,High school diploma only
1013,AL,Butler,Southeast,35409.0,3,22,1,28.9,1,White & Not Hispanic,18,9,13.64688856729378,46.49059334298119,23.90738060781476,15.95513748191028,6.93,11.4,6.226804584468373,7.1,16.3,High school diploma only
1015,AL,Calhoun,Southeast,41778.0,27,84,4,33.8,7,White & Not Hispanic,95,75,14.92648827991439,34.44856712297542,31.76896678359314,18.85597781351704,6.55,10.4,23.433851807648516,7.1,16.3,High school diploma only
1017,AL,Chambers,Southeast,39530.0,7,22,1,29.7,8,White & Not Hispanic,29,18,17.41617937823398,37.14189558705986,30.99995793193387,14.44196710277228,5.47,12.2,20.843214136062457,7.1,16.3,High school diploma only
1019,AL,Cherokee,Southeast,41456.0,5,18,1,30.9,1,White & Not Hispanic,15,12,17.17599122394609,39.15269289035157,30.73708405161156,12.93423183409079,5.07,9.0,0.39833198231404826,7.1,16.3,High school diploma only
1021,AL,Chilton,Southeast,44188.0,5,33,1,29.7,2,White & Not Hispanic,22,23,18.19056146983716,43.34560408582894,24.84329917421152,13.62053527012237,5.5,14.8,3.3680065770122813,7.1,16.3,High school diploma only
1023,AL,Choctaw,Southeast,32691.0,3,15,2,39.4,8,White & Not Hispanic,6,7,17.30540861491957,36.12220662852207,33.05624527690813,13.51613947965022,8.53,11.0,19.50281549095887,7.1,16.3,High school diploma only
1025,AL,Clarke,Southeast,34061.0,6,13,2,24.2,2,White & Not Hispanic,25,13,17.38609830569359,41.5613961563791,27.2645632521104,13.78794228581692,10.89,10.9,22.11483889428084,7.1,16.3,High school diploma only
1027,AL,Clay,Southeast,38512.0,3,6,2,28.3,8,White & Not Hispanic,4,8,18.73866182904706,40.02774517127308,29.45256642834276,11.7810265713371,5.96,13.2,4.613414584500919,7.1,16.3,High school diploma only
1029,AL,Cleburne,Southeast,43483.0,2,12,2,25.6,8,White & Not Hispanic,5,2,17.81172898083128,38.37540330233441,27.79464794078573,16.01821977604859,6.0,14.4,5.273411320245745,7.1,16.3,High school diploma only
1031,AL,Coffee,Southeast,48632.0,7,29,1,30.6,4,White & Not Hispanic,40,31,14.35329474621549,27.48219056099733,36.43699910952805,21.72751558325913,5.88,10.5,20.994005725991233,7.1,16.3,College or associate's degree
1033,AL,Colbert,Southeast,46572.0,8,45,1,31.3,5,White & Not Hispanic,53,36,14.30508995061033,36.98339176497684,31.34068633723162,17.37083194718121,6.96,8.6,20.385952642876276,7.1,16.3,High school diploma only
1035,AL,Conecuh,Southeast,29758.0,1,15,2,26.3,8,White & Not Hispanic,7,3,15.04645365964197,46.73691366417403,24.38250623158849,13.83412644459551,8.44,15.7,26.900207440887964,7.1,16.3,High school diploma only
1037,AL,Coosa,Southeast,36441.0,1,8,2,22.6,8,White & Not Hispanic,1,1,16.83371573481464,42.04806182828161,29.56164714406473,11.55657529283903,5.98,10.0,24.516252133091168,7.1,16.3,High school diploma only
1039,AL,Covington,Southeast,35010.0,6,34,1,31.4,4,White & Not Hispanic,27,19,14.65523780626564,37.25631495107335,32.47364029431844,15.61480694834256,6.77,11.8,9.980464049266544,7.1,16.3,High school diploma only
1041,AL,Crenshaw,Southeast,37374.0,4,7,2,29.4,8,White & Not Hispanic,8,6,21.17926476662536,38.17637339942173,22.1396117306898,18.50475010326312,5.88,10.7,37.96178977914188,7.1,16.3,High school diploma only
1043,AL,Cullman,Southeast,41543.0,15,53,2,33.8,4,White & Not Hispanic,63,43,17.73638179188761,32.27566971971627,34.5723435025136,15.41560498588251,4.98,13.4,7.3380969101382725,7.1,16.3,College or associate's degree
1045,AL,Dale,Southeast,40523.0,6,29,1,33,2,White & Not Hispanic,35,27,14.68587793091104,30.89911103156136,36.19712427659448,18.21788676093312,5.8,12.3,27.933712995483674,7.1,16.3,College or associate's degree
1047,AL,Dallas,Southeast,30488.0,8,36,1,39.2,2,Black,25,12,16.05169653664441,36.22271680137441,31.08039514271211,16.64519151926907,9.24,12.1,17.4350909803699,7.1,16.3,High school diploma only
1049,AL,DeKalb,Southeast,37128.0,16,50,1,28.2,3,White & Not Hispanic,40,32,21.97449592183166,32.72678342234919,31.31909079617439,13.97962985964477,6.08,15.1,3.76865468839694,7.1,16.3,High school diploma only
